ID videa;ID článku;views;SUM(time)
132522;29431;1;80
134493;29838;1;280
134743;29874;2;416
137601;30597;1;221
144259;31624;2;136
151227;32903;2;290
151240;33102;1;415
154803;33527;1;266
155442;30285;1;68
157232;33908;1;1035
158946;34146;1;20
159703;34270;1;140
160681;34402;3;363
164643;34922;1;560
170124;35834;1;29
172321;36201;1;270
183407;38091;2;50
185031;38385;1;300
316027;39464;3;680
317994;39792;1;130
325481;55870;55;26161
330634;41668;15;405
333134;42067;1;1120
335414;42372;1;598
335713;42450;1;1090
339055;42959;16;2710
339354;43030;1;248
339641;43017;1;211
340413;43215;1;1576
341123;43307;1;206
342073;43446;1;400
342335;43465;1;40
344784;43893;4;33
346084;44138;2;510
347487;null;1;51
350468;44960;1;620
350515;45220;5;2930
350588;45259;4;1770
351585;45529;1;640
352545;45855;1;770
353231;54699;1;224
354215;46320;1;1650
356664;47267;10;10331
358873;47562;1;140
359103;47625;1;48
359870;47900;1;244
360475;48001;1;1570
360534;48346;4;5010
364043;49860;20;24916
364102;49083;1;410
364689;49609;3;1658
364690;49611;2;751
365076;49661;10;7155
365292;49842;2;80
365613;50054;1;100
366227;51205;2;1740
366418;50778;1;87
366480;50886;36;24446
366717;51088;1;1556
367069;51641;1;55
367307;52070;6;8322
367596;52216;1;30
368304;52728;1;60
368532;52905;1;310
369087;53537;260;185822
369110;53333;1;51
369612;53667;6;3600
369923;53897;1;99
370158;54617;4;834
370217;54258;18;12690
370254;54173;1;10
370266;54184;3;1570
370577;54395;1;70
370636;54477;3;430
370648;54478;1;1633
370839;54614;1;242
370972;54698;1;69
371011;54734;1;953
371072;54759;1;NULL
371202;54867;1;72
371275;54881;1;70
371346;55019;2;3021
371525;55116;2;90
371550;55143;1;440
371682;55105;1;1570
371728;55203;3;172
372068;55429;1;98
372127;0;1;56
372259;55550;2;140
372499;55706;1;55
372534;55766;4;273
372595;55852;32;31535
372654;55891;1;390
372691;55860;17;1448
373053;56071;1;19572
373090;56072;2;108
373112;56124;4;144
373136;56140;1;51
373281;56158;2;327
373339;56189;13;1770
373340;56198;1;40
373364;56217;2;226
373472;56229;1;35
373506;56236;16;14212
373518;56188;4;1879
373710;56288;2;176
373734;56298;3;312
373783;56307;1;162
373962;56329;2;156
373974;56333;2;132
374098;56354;12;593
374108;56464;7;3518
374348;0;3;74
374397;56541;183;23021
374420;null;21;114
374444;56582;3532;1991592
374588;56623;1;75
374659;56653;3;390
374706;56637;17;1778
374718;56733;106;9097
374910;56709;60;9480
375130;56845;1161;34754
128819;28356;5;301
140536;31087;1;250
142184;31187;1;39
144128;31534;1;60
152357;33128;1;38
152561;33198;15;2800
152644;33172;1;343
166495;35309;1;37
168618;35520;2;661
188490;38946;2;21
320700;40223;1;630
321601;56423;3;890
327259;41171;1;19
328663;41350;1;170
329300;41455;1;76
329493;41485;1;600
333039;42048;1;1593
333052;42047;1;1501
335702;56491;29;13531
337002;56491;24;8965
337469;42704;1;33
338131;42838;2;51
338873;42935;1;265
340666;43218;2;134
341878;43418;1;100
342098;56654;353;221342
342182;43469;1;415
344856;43890;1;515
346467;44190;1;780
348005;44506;1;1540
349146;44745;5;747
349325;44795;1;NULL
351466;45519;1;126
353411;46105;2;32
353484;46277;2;708
353543;46179;1;51
356329;46348;5;6284
356604;46911;1;1529
357708;47354;1;880
358850;48019;3;3997
358862;47604;1;502
358886;47880;1;400
359128;47627;1;20
359822;47849;0;50
360714;48073;1;37
361341;48355;1;45
363155;48846;35;20458
364115;49204;1;1580
364522;49285;1;360
364617;49302;5;142
364691;49392;2;620
364713;49365;1;35
364857;49479;1;43
365197;49768;1;730
365722;50311;2;310
365891;50326;4;3811
365901;50357;2;3064
366062;50702;3;1662
366420;50797;5;560
366444;50821;1;1573
366481;50886;52;43730
367034;51605;1;20
367441;52151;2;2501
367872;52432;1;57
367931;52458;1;60
368080;52591;80;1120
368521;52888;1;20
368915;53209;1;41
369147;53359;1;NULL
369255;53497;1;176
369302;53483;1;1648
369338;53536;1;229
369409;53544;1;130
369483;53595;3;3897
369495;53608;1;103
369529;56633;29;1146
369591;53669;1;230
369708;53750;2;86
370255;null;1;130
370280;55352;1;25
37034;12448;1;127
370471;54316;0;76
370745;54553;1;500
370770;54830;2;666
370890;54563;6;24
371024;54724;1;1500
371061;54768;1;63
371107;54798;1;100
371467;55088;1;76
371695;55218;1;195
371729;55225;1;97
372021;55296;1;135
372045;55410;7;6788
372189;55508;2;402
372285;55547;1;136
372320;55575;1;730
372368;0;1;30
372439;55690;71;69238
372535;55780;5;777
372547;55782;1;60
372596;55900;10;8836
372655;55980;32;15322
372667;55908;1;62
372714;55912;1;50
372775;55957;1;73
372846;56891;10;1325
372883;56038;2;60
373030;56266;1;110
373269;56170;84;89690
373304;56249;3;903
373532;56245;3;1096
373603;55860;7;1222
373639;56285;1;67
373711;56289;2;142
373880;56318;1;23
373902;56190;1;88
373926;56332;4;930
374110;56434;88;99059
374171;56420;2;272
374337;56539;91;80834
374349;56588;3539;1033631
374457;56622;2851;181038
374469;56589;26;2342
374707;56541;31;818
374720;56689;12;11865
374827;56711;18;844
38449;12713;1;NULL
127549;27975;1;61
138636;30813;1;212
141821;31082;1;10
150150;32753;1;90
150245;32738;1;28
152454;33139;1;42
161560;34556;2;80
164944;35075;1;43
166016;35240;1;364
168477;35596;1;986
169868;35780;4;476
170832;35967;1;358
180515;37624;1;60
184982;38377;1;90
188741;38964;1;1440
189260;39108;1;81
25501;6969;1;195
29428;8137;1;NULL
319044;39940;1;850
320617;40201;4;826
323010;40475;1;1249
323776;40678;1;160
323992;40622;1;30
324521;40809;1;740
328221;41387;1;150
332068;41904;1;424
333327;42081;1;399
335644;55917;2;1620
335872;42446;1;1596
337804;42773;1;290
338431;42862;6;250
339082;43007;1;1467
339297;43002;1;120
339403;43024;1;130
340631;43239;1;160
343263;43635;1;130
343442;43692;3;542
344140;43738;1;68
345077;43986;8;4190
351347;45527;1;230
351791;45584;1;160
351862;45960;4;3518
351969;45945;3;4603
353042;45987;3;726
353208;46178;2;210
353233;46053;1;170
353593;46211;2;690
354565;46365;1;800
354840;46427;11;2239
356595;46913;4;573
357746;47225;1;290
358062;47327;1;51
358312;47374;1;30
359382;47941;2;400
360788;48083;1;120
361773;48462;1;28
362111;48480;3;1208
362375;48566;2;40
362698;49356;9;2350
362912;48756;1;310
363144;48376;1;250
363610;48917;1;161
363801;48958;1;54
364153;49120;7;644
364954;49579;2;83
365091;50163;14;9832
365101;49791;3;4590
365125;49700;1;50
365353;49906;2;3088
365603;50871;15;14450
365902;50358;1;35
366242;50725;1;650
366374;50761;3;529
366482;50829;1;40
367179;51781;1;170
367598;52231;3;6827
367741;null;1;40
367765;52392;1;1030
368463;52843;1;102
368487;55364;7;3640
368558;54864;12;2751
368749;53106;1;NULL
369197;55072;3;489
369232;53298;1;NULL
369663;53709;1;30
369687;53715;1;40
369805;56639;495;129368
370124;54081;1;71
370293;54181;2;440
370484;54523;1;10
370602;54453;1;597
370699;54513;19;29677
370709;54563;17;1408
370734;54561;6;1184
370795;54578;2;72
371348;54975;1;113
371456;55068;1;280
371552;55149;1;30
371623;55178;1;58
371659;55207;1;80
371672;55230;45;32995
371684;55215;1;83
371731;55236;1;230
371743;55226;1;61
371755;55230;6;360
371767;55253;1;64
371934;55509;3;300
371958;55480;8;2640
371983;55361;1;114
372034;55401;1;37
372046;55464;25;26418
372058;55573;6;4854
372129;0;1;59
372130;55449;1;30
372154;55499;7;1958
372191;55428;7;1458
372249;0;1;NULL
372262;55577;2;397
372369;55625;12;718
372370;0;1;20
372382;55630;1;1103
372477;55746;1;343
372500;55741;1;590
372512;55758;2;80
372548;55777;1;47
372632;56654;140;22830
372644;55764;1;1542
372693;55986;7;700
372715;55978;2;457
372884;56262;25;16750
372967;0;1;28
373018;56058;9;7609
373138;56147;1;65
373271;56241;1;381
373283;56178;1;83
373498;56242;1;41
373508;56248;3;131
373569;56264;2;87
373570;55999;1;66
373628;56282;1;170
373748;56296;1;57
373773;56303;1;71
373939;56354;746;297060
374135;56463;6;566
374159;56468;47;2239
374184;56467;1;67
374231;56486;6;625
374302;56524;3;177
374314;56532;4;206
374446;56585;4;196
374601;56633;85;3888
374733;56696;2438;3586959
374757;56701;22;2181
374973;56787;1680;666406
374997;56773;3062;347257
375000;56709;511;190388
375119;56839;8280;638184
38463;12706;1;44
130485;34509;1;45
132765;56743;8;605
137881;30288;2;1120
155122;33584;1;90
163351;34865;1;1070
164609;35028;1;20
165153;35122;1;190
167398;55464;2;117
169164;35584;1;110
172290;36206;1;NULL
176085;36922;2;131
178892;37316;1;280
179876;37449;1;206
189439;39108;1;70
25551;6988;1;41
317961;39801;1;70
320094;40140;1;650
321042;40262;10;594
322516;40411;1;752
325758;41227;2;1768
328868;41402;2;71
330674;41677;1;150
330828;41700;2;250
331766;41849;11;313
332643;41971;1;43
334852;42368;3;3375
336331;42559;2;1175
338324;42854;1;56
340129;43134;5;842
340428;43193;1;1594
341102;43315;1;360
342184;43469;1;885
343203;43645;1;110
345294;43988;1;25
345316;43966;3;987
345377;44145;1;1140
345593;44092;3;940
345759;43974;2;2850
345784;44079;1;1931
346697;52158;2;950
348044;null;1;20
348928;44683;1;20
351909;45584;1;60
351934;45945;1;670
352967;45933;1;10
353018;45941;1;76
354375;46569;1;300
354625;46544;1;1170
355455;46605;1;60
358470;47469;1;20
358494;47537;4;10085
359873;47900;1;170
359968;48350;1;1569
360513;48015;1;10
362950;48781;1;90
363157;49130;22;14521
36338;46813;1;60
363899;49001;1;147
364046;49397;1;1520
364404;49227;2;3760
364585;49272;1;72
365604;50871;19;15036
365939;50383;1;387
366770;51252;1;NULL
367024;56745;2;24
367717;52323;1;109
367921;52453;1;58
368488;52891;6;3736
368547;52911;1;50
368559;54865;22;3950
368917;55171;1;NULL
369365;53533;2;190
369497;53611;6;300
369676;53723;2;1677
369867;53860;1;521
369951;53923;3;602
370078;54021;2;14
370257;54172;1;113
370627;54476;1;158
370772;54828;3;1332
370914;54676;5;3627
371266;55381;7;1227
371720;55220;1;121
371876;55317;2;263
371935;55295;2;880
372106;55451;1;40
372180;55500;1;60
372251;0;1;12
372371;55638;1;192
372395;55639;5;5162
372417;55681;1;30
372430;55686;10;994
372513;0;1;47
372537;55932;2;418
372645;55920;11;1993
372682;56733;18;20940
372694;55981;114;26692
372824;55860;1;43
372968;null;2;28
373259;56187;3;1662
373272;56210;12;3330
373306;56192;367;15322
373367;56252;12;2242
373595;56586;28;14450
373605;56271;1;67
373774;56308;4;1495
374053;56390;4;242
374090;56433;1;31
374339;56544;4;181
374352;56579;2250;371928
374376;56543;5;812
374423;56533;24;1300
374447;56530;39;4182
374459;56595;6;5776
374506;56616;7;1218
374592;null;21;808
374722;56641;88;7678
374842;56725;5;6910
374866;56743;85;7715
374974;56806;281;222235
374986;56816;184;6623
375157;56870;167533;13812582
375204;56897;16463;224390
133021;55464;3;237
137595;30301;1;560
144538;31624;1;850
145307;31765;1;50
151244;32932;1;390
159697;34258;1;183
165130;35103;1;40
167458;35420;1;130
169871;35780;2;70
172553;36250;1;370
321283;40313;1;46
324452;56202;2;1482
325257;40903;1;110
328928;41346;1;330
336822;42598;1;53
337221;42708;1;130
339060;42957;1;35
339537;43081;1;129
339968;56533;39;1986
341737;43390;1;30
344201;43831;2;794
344573;43871;7;3183
345126;43951;1;NULL
346363;44164;1;49
347193;44420;3;3061
347563;44393;2;20
348236;44117;1;130
348692;44573;1;58
351205;45418;1;610
352993;46130;1;NULL
355098;46549;1;871
356681;46947;1;80
357222;47211;1;650
357508;47145;1;59
359970;48350;3;1420
361439;48363;1;20
363229;48858;1;69
364753;49389;2;601
365546;50033;1;80
366518;50876;37;57680
366998;51468;3;360
367121;51688;1;100
367289;51923;3;989
367515;52379;32;27423
367887;52436;1;NULL
368237;52677;2;180
368884;53192;1;60
368955;53222;1;42
368979;53240;1;58
369234;53448;9;5222
369246;53384;1;140
369569;53633;1;32
369832;53836;17;2958
370209;54140;1;130
370354;54229;3;828
370437;54292;1;20
370736;54546;1;220
370748;54506;1;50
370988;54764;12;8087
371088;54816;2;420
371160;55058;4;5254
371196;54867;2;170
371505;55096;1;175
371637;55191;2;188
371721;55227;1;80
371804;55364;14;11566
371841;55291;3;256
371924;55275;1;50
371973;55382;2;168
372000;55390;1;40
372107;55481;15;5782
372311;55576;10;11822
372323;55678;1;990
372406;55726;2;290
372502;55670;1;70
372587;55804;1;79
372683;55928;3;210
372695;55980;141;64102
372717;55910;28;27043
372850;56032;8;4978
372908;56043;7;1580
373021;56057;2;207
373104;55944;4;787
373116;56125;2;173
373224;56155;1;49
373273;56194;125;44148
373523;56256;3;751
373535;56248;1;52
373559;56275;6;5020
373871;56316;5;182
373954;56320;1;171
373966;56333;3;38
374078;56421;1;20
374328;56549;119;19221
374377;0;13;427
374412;56561;14;798
374436;56577;63;20140
374461;56600;5;186
374581;56634;161;177662
374603;56630;54;2514
374640;56805;10828;6424890
375205;56894;6032;141100
127205;27891;1;70
127815;28054;1;150
128790;28356;1;560
139781;31082;1;60
150726;32823;1;180
150775;34402;1;123
150822;32838;1;48
151316;32955;1;230
151867;41496;2;182
152864;48566;1;70
157250;33922;1;20
157943;34015;1;49
160889;34433;1;48
165106;35188;1;262
165334;35121;1;135
168253;49847;4;370
172804;36208;1;50
173754;56593;2;234
178654;37280;1;10
182500;37865;1;10
185646;38477;0;30
187017;38636;1;80
189454;39108;1;28
26131;7233;1;130
320657;40201;1;660
329519;43090;1;NULL
331398;41797;25;854
333103;42109;1;20
337222;42708;1;1575
337317;42679;2;68
342113;56148;1;40
342377;43513;2;270
342640;43553;2;150
343229;43630;1;31
343648;43714;1;37
344179;43805;2;181
345032;44002;1;610
345115;43949;4;548
345595;44063;1;651
348536;44573;12;7232
349462;53836;8;2106
351351;45503;5;650
351924;45584;1;220
354137;46264;1;130
355195;46570;4;258
355935;46721;2;1260
357713;47218;1;380
358089;47350;1;710
358303;47254;3;5520
358340;47455;5;1130
358842;47567;1;1590
358950;47591;3;2124
359108;47402;2;1976
360743;48096;1;220
360767;47945;1;1494
361860;48464;1;70
362222;48852;1;359
362449;48724;3;3864
362653;48768;1;346
363890;49006;7;689
364119;48189;1;390
364634;49125;5;645
364729;56680;510;199694
364742;49942;2;400
365273;49822;2;48
365559;50030;2;61
365726;50174;2;212
365810;50286;1;47
365917;56654;412;13200
367014;56745;53;5234
367589;52331;1;60
367590;52288;4;2379
367636;52274;1;37
367661;52272;1;90
367707;52324;1;137
367923;52454;1;30
368143;52645;1;1580
368430;52826;1;74
368442;52788;1;150
369176;53414;1;210
369595;53657;1;110
369630;53742;7;1695
369808;53819;1;154
370068;54021;34;52911
370296;54189;3;405
370774;54827;1;473
370870;55001;2;610
371053;54772;1;150
371065;53650;2;40
371090;54786;1;60
371124;54811;1;34
